year,month,day,hour,minute,lat,lon,alt [m],device,counter,orthometric height [m],notes
2024,1,9,8,48,33.44496801,-118.4810744,,mit,3112.67,,BASE
2024,1,9,15,49,33.44496801,-118.4810744,,mit,3112.36,,BASE
2024,1,10,8,44,33.44496801,-118.4810744,,mit,3112.66,,BASE
2024,1,10,9,19,33.44496801,-118.4810744,,caltech,3157.73,,BASE
2024,1,10,10,18,33.38777833,-118.4710817,-14.5,mit,3130.71,,0
2024,1,10,10,19,33.38777833,-118.4710817,-14.5,caltech,3193.88,,0
2024,1,10,10,24,33.38822167,-118.4705167,7.8,mit,3127.86,,1
2024,1,10,10,31,33.38862167,-118.469795,24.8,caltech,3187.1,,2
2024,1,10,10,38,33.38859667,-118.4689633,33.1,mit,3121.24,,3
2024,1,10,10,44,33.38898482,-118.4681795,42.295,caltech,3182.44,,4
2024,1,10,10,49,33.38908072,-118.4674271,57.542,mit,3115.86,,5
2024,1,10,10,51,33.3896237,-118.4668428,69.02,caltech,3176.74,,6
2024,1,10,10,57,33.39020338,-118.4662396,69.255,mit,3113.54,,7
2024,1,10,11,0,33.39092049,-118.4657327,75.134,caltech,3176.067,,8
2024,1,10,11,9,33.39154052,-118.4651616,77.215,mit,3111.97,,9
2024,1,10,11,7,33.39224552,-118.4646563,79.752,caltech,3175.24,,10
2024,1,10,11,14,33.39289677,-118.46407,82.074,mit,3111.18,,11
2024,1,10,11,16,33.3936643,-118.4636332,83.453,caltech,3174.05,,12
2024,1,10,11,23,33.39453437,-118.463274,85.699,mit,3109.96,,13
2024,1,10,11,22,33.39526114,-118.4627538,89.903,caltech,3172.19,,14
2024,1,10,11,32,33.39599891,-118.4623814,92.522,mit,3108.01,,15
2024,1,10,11,31,33.39681064,-118.4619567,91.969,caltech,3171.54,,16
2024,1,10,11,39,33.39759179,-118.4616433,94.607,mit,3107.21,,17
2024,1,10,11,39,33.39815096,-118.4610517,102.799,caltech,3168.84,,18
2024,1,10,11,49,33.3987802,-118.4605358,112.171,mit,3103.13,,19
2024,1,10,11,46,33.39955864,-118.4602804,114.055,caltech,3166.24,,20
2024,1,10,11,56,33.40017038,-118.4597219,118.582,mit,3101.68,,21
2024,1,10,11,54,33.40079357,-118.4588975,125.801,caltech,3163.49,,22
2024,1,10,12,26,33.40146356,-118.4586362,133.742,mit,3098.77,,23
2024,1,10,12,26,33.40211975,-118.4583265,142.936,caltech,3160.94,,24
2024,1,10,12,34,33.40280278,-118.4581503,156.233,mit,3094.95,,25
2024,1,10,12,35,33.40342651,-118.4578214,168.269,caltech,3156.4,,26
2024,1,10,12,42,33.40401991,-118.4574779,179.638,mit,3090.15,,27
2024,1,10,12,42,33.40437882,-118.4583357,181.655,caltech,3153.65,,28
2024,1,10,12,54,33.40475379,-118.459048,184.104,mit,3089.6,,29
2024,1,10,12,50,33.40539503,-118.4594954,191.29,caltech,3151.52,,30
2024,1,10,13,8,33.40631293,-118.4579971,242.088,caltech,3140.68,,32
2024,1,10,13,11,33.40691227,-118.457783,253.254,mit,3073.89,,33
2024,1,10,13,16,33.40700587,-118.4570435,269.096,caltech,3134,,34
2024,1,10,13,20,33.40725977,-118.4562779,277.626,mit,3068.42,,35
2024,1,10,13,22,33.40756617,-118.455461,285.985,caltech,3130.28,,36
2024,1,10,13,26,33.40798471,-118.4547564,296.158,mit,3063.52,,37
2024,1,10,13,31,33.40839053,-118.4542497,308.773,caltech,3124.55,,38
2024,1,10,13,35,33.40826751,-118.4535529,322.597,mit,3057.52,,39
2024,1,10,13,38,33.40852936,-118.4525361,317.077,caltech,3123.42,,40
2024,1,10,13,45,33.40886783,-118.4516805,321.146,mit,3058.64,,41
2024,1,10,13,45,33.40892586,-118.4508321,328.122,caltech,3121.29,,42
2024,1,10,13,53,33.4087631,-118.4499855,327.876,mit,3057.96,,43
2024,1,10,13,50,33.40881976,-118.4495782,328.994,caltech,3121.36,,44
2024,1,10,13,59,33.40900987,-118.4492038,329.755,mit,3058.28,,45
2024,1,10,13,57,33.40944922,-118.4483608,325.486,caltech,3124.57,,46
2024,1,10,14,6,33.41001855,-118.4476303,313.034,mit,3061.27,,47
2024,1,10,14,3,33.41066273,-118.4472281,308.693,caltech,3124.19,,48
2024,1,10,14,12,33.41115495,-118.4464242,309.313,mit,3062.03,,49
2024,1,10,14,10,33.41181809,-118.4458635,300.125,caltech,3125.19,,50
2024,1,10,14,19,33.41261202,-118.4454337,300.914,mit,3062.62,,51
2024,1,10,14,17,33.41324188,-118.4446915,293.585,caltech,3123.61,,52
2024,1,10,14,28,33.41388881,-118.4440088,304.085,mit,3058.74,,53
2024,1,10,14,23,33.41426066,-118.4431238,304.57,caltech,3122.19,,54
2024,1,10,16,5,33.41475871,-118.442332,306.807,mit,3130.67,,0
2024,1,10,16,2,33.41475871,-118.442332,306.807,caltech,3194.13,,0
2024,1,10,16,50,33.44496801,-118.4810744,,mit,3112.69,,BASE
2024,1,10,16,47,33.44496801,-118.4810744,,caltech,3176.17,,BASE
2024,1,11,8,21,33.44496801,-118.4810744,,mit,3112.83,,BASE
2024,1,11,14,1,33.41628551,-118.4387891,221.601,mit,3074.96,,BASE2
2024,1,11,14,13,33.41628551,-118.4387891,221.601,caltech,3138.6,,BASE2
2024,1,11,14,22,33.41711787,-118.4405708,205.352,mit,3078.49,,57
2024,1,11,14,23,33.41791021,-118.4409976,192.462,caltech,3143.9,,58
2024,1,11,14,28,33.4184491,-118.4413497,181.671,mit,3082.48,,59
2024,1,11,14,31,33.41881698,-118.4419739,174.606,caltech,3147.25,,60
2024,1,11,14,35,33.41970579,-118.4414817,158.552,mit,3086.36,,61
2024,1,11,14,37,33.42034065,-118.440931,145.557,caltech,3151.77,,62
2024,1,11,14,43,33.42114747,-118.4406148,134.284,mit,3089.91,,63
2024,1,11,14,43,33.42208813,-118.4406568,131.525,caltech,3153.45,,64
2024,1,11,14,52,33.42153027,-118.4402137,123.541,mit,3092.02,,65
2024,1,11,14,55,33.42240509,-118.4400696,103.264,caltech,3158.58,,66
2024,1,11,14,59,33.42315605,-118.4399953,87.244,mit,3098.2,,67
2024,1,11,15,0,33.42388842,-118.4395251,72.668,caltech,3163.61,,68
2024,1,11,15,5,33.42420205,-118.438685,57.819,mit,3102.95,,69
2024,1,11,15,6,33.42505707,-118.4385691,44.075,caltech,3168.22,,70
2024,1,11,15,11,33.42593251,-118.4386219,28.858,mit,3107.59,,71
2024,1,11,15,13,33.4269037,-118.4387092,16,caltech,3172.5,,72
2024,1,11,15,53,33.41628551,-118.4387891,,mit,3075.27,,BASE2
2024,1,11,15,55,33.41628551,-118.4387891,,caltech,3138.69,,BASE2
2024,1,11,17,26,33.44496801,-118.4810744,,mit,3112.73,,BASE
2024,1,11,17,27,33.44496801,-118.4810744,,caltech,3175.86,,BASE
2024,1,12,8,46,33.44496801,-118.4810744,,caltech,3112.61,,BASE
2024,1,12,10,19,33.40301289,-118.4150805,449.164,caltech,3031.56,,Catalina Airport
2024,1,12,10,38,33.40347407,-118.4230767,385.435,caltech,3045.58,,RDDCB
2024,1,12,10,52,33.40207751,-118.4244705,365.922,caltech,3050.53,,R59E1
2024,1,12,11,2,33.40168209,-118.4255844,354.086,caltech,3052.7,,R9682
2024,1,12,11,17,33.40032881,-118.4270642,309.23,caltech,3061.44,,RFCEE
2024,1,12,11,29,33.39859492,-118.4292512,291.034,caltech,3065.01,,ROD8E
2024,1,12,11,39,33.39473736,-118.439252,213.805,caltech,3081.86,,R9C99
2024,1,12,11,53,33.39154017,-118.4419451,196.897,caltech,3086.02,,ROB4D
2024,1,12,12,6,33.39090835,-118.4440504,217.277,caltech,3081.49,,R4A3E
2024,1,12,13,22,33.38483234,-118.4714476,-5.909,caltech,3129.41,,Little Harbor Campground
2024,1,12,13,45,33.40675664,-118.4684183,132.855,caltech,3098,,Road Station
2024,1,12,14,46,33.44496801,-118.4810744,,caltech,3112.54,,BASE